Genes,E3_0,E3_1,E3_2,E4_0,E4_1,E4_2
A1BG,7.4347,7.03055,7.69389,8.12753,7.29819,9.84681
A1BG-AS1,1.60185,1.76264,2.00262,1.3906,1.28898,1.30781
A1CF,0.00999722,0.0110008,0.039571,0.0109289,0.030418,0.0496118
A2M,7.22259,7.09447,6.91785,9.25621,10.4612,10.5586
A2M-AS1,1.92191,1.56095,1.71891,1.00048,1.25195,1.58781
A2ML1,0.0506361,0.0278593,0.0753735,0,0.036882,0
A2MP1,0.0909598,0,0,0,0,0
A4GALT,3.60455,3.01445,3.18312,0.788092,0.681802,1.7153
A4GNT,0.0578984,0,0,0,0,0
AA06,0,0,0,0,0,0
AAAS,36.2015,38.1997,37.764,27.9408,33.4328,34.7582
AACS,10.2205,10.2852,11.1107,10.8228,9.61883,10.3346
AACSP1,0.553018,0.507109,0.364448,0.0503795,0,0.0456882
AADAC,0.323533,0.284808,0.703604,1.5562,2.09816,2.05279
AADACL2,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
AADACL4,0.0661683,0,0,0.0723345,0.201146,0.196797
AADAT,5.88015,7.42927,6.3834,5.63158,6.59009,6.17243
AAED1,5.1518,6.45087,5.61951,6.60291,5.49036,7.13284
AAGAB,14.5712,13.8386,15.6631,12.3313,12.1615,11.6766
AAK1,2.99175,3.25886,3.05117,3.49204,3.59506,3.26944
AAMDC,60.2885,44.7798,59.5967,59.3161,43.6798,48.1146
AAMP,40.5962,41.5299,39.1144,48.3117,46.1121,52.1907
AANAT,0,0.0584204,0.10903,0.116077,0.223526,0.0526341
AAR2,18.8888,20.6969,21.186,18.9962,19.2191,21.7941
AARD,0.917597,0.883494,0.96376,1.56736,0.871693,1.42141
AARS,57.1163,52.8943,57.5753,86.5487,84.9105,90.3532
AARS2,7.71311,7.65826,8.07541,6.1776,5.86682,6.66386
AARSD1,19.1141,19.4452,19.7101,19.831,16.401,21.0851
AASDH,5.21819,4.31394,4.99795,4.75865,4.65748,4.28873
AASDHPPT,21.0749,22.8522,18.0306,20.0517,22.3244,20.1824
AASS,12.046,13.1494,11.5277,10.787,11.8978,8.98849
AATF,17.4266,14.0211,15.5595,16.2852,15.5223,14.9545
AATK,1.81659,1.4829,1.59449,0.690231,0.739072,0.475792
AATK-AS1,0.33036,0.145409,0.130628,0,0.0669511,0
ABAT,3.17015,2.73003,2.88073,3.34212,3.43181,3.27949
ABCA1,9.15971,8.78897,8.42714,8.95318,9.46917,7.99712
ABCA10,0.074081,0.114124,0.0732309,0.178166,0.195173,0.132198
ABCA11P,2.28243,3.03528,2.61909,2.30801,2.59197,2.65962
ABCA12,0.0806335,0.101403,0.0910953,0.0669403,0.124094,0.12141
ABCA13,0.144366,0.123556,0.105711,0.0759871,0.0704344,0.0636105
ABCA17P,0,0.0250705,0.022522,0,0,0.0225873
ABCA2,14.3426,13.8256,14.8268,12.1713,11.3282,13.1325
ABCA3,2.16378,1.97637,2.48845,0.943075,0.960142,1.05155
ABCA4,0.293213,0.350702,0.441074,0.501711,0.51672,0.543463
ABCA5,0.48178,0.438857,0.607747,0.783859,0.899601,0.530223
ABCA6,0,0,0,0.175395,0.234834,0.159062
ABCA7,3.0196,3.17168,3.5548,4.6514,4.24196,4.58567
ABCA8,0.592452,0.651923,0.471776,7.23223,6.88717,6.60772
ABCA9,0.223336,0.262139,0.294364,0.748723,0.709097,0.605199
ABCB1,0.060354,0.044275,0.119323,0.0219928,0,0.0199449
ABCB10,4.96943,6.0151,6.04226,7.63271,8.13241,8.22753
ABCB11,0,0,0,0,0,0
ABCB4,0.150352,0.165445,0.148627,0,0.0761734,0
ABCB5,0.882086,0.436931,0.477684,0.404163,0.825859,0.454549
ABCB6,5.48288,6.13973,5.06926,4.90083,5.49046,4.73225
ABCB7,11.9559,8.8163,10.323,11.1559,11.2127,10.0129
ABCB8,6.56624,6.71246,7.35234,7.51047,5.48306,7.91616
ABCB9,3.7363,3.52204,3.48923,3.29816,3.24741,3.79395
ABCC1,15.7176,14.8291,15.0998,12.1415,11.9486,11.5204
ABCC10,6.95729,8.1982,8.04094,7.75852,7.38812,8.73997
ABCC11,0.0194876,0.0234488,0.0210652,0,0.0215932,0.0211263
ABCC12,0,0,0,0,0,0.0181292
ABCC13,0.207836,0.0381164,0.0684835,0.0757345,0.0702002,0.0343411
ABCC2,0.917667,1.15404,0.796058,0.204731,0.493403,0.427034
ABCC3,0.107949,0.17826,0.160066,0.413154,0.444911,0.824155
ABCC4,2.19767,1.9111,1.76639,6.71328,6.23328,5.34646
ABCC5,21.2817,19.8026,19.9282,25.2908,24.7192,21.4721
ABCC5-AS1,0,0,0,0,0,0
ABCC6,2.17451,2.78376,2.71857,1.79141,2.36094,1.97514
ABCC6P1,0.79229,0.832193,0.925598,0.236215,0.583877,0.428439
ABCC6P2,2.88698,3.37532,1.24856,1.77526,2.19404,2.68325
ABCC8,0.0190142,0.0209229,0,0,0.0770686,0.0565516
ABCC9,0.458388,0.664334,0.508387,0.439995,0.498473,0.343603
ABCD1,9.20766,8.77525,8.50558,7.16932,6.88465,8.21818
ABCD2,0.19438,0.0194447,0.0698724,0.0579529,0.035812,0.0700752
ABCD3,12.6839,11.5465,10.1241,12.6904,14.2508,12.2555
ABCD4,11.0244,11.3274,10.2745,11.1798,12.4462,10.8095
ABCE1,13.2628,13.7681,13.7627,16.4653,19.2291,14.7734
ABCF1,24.7842,22.8921,25.5839,23.7195,22.7174,24.085
ABCF2,19.4636,19.7423,19.1173,21.8112,20.6846,21.2751
ABCF3,17.7055,17.1213,17.8433,18.4757,18.1741,18.275
ABCG1,0.634192,0.510956,0.457543,1.12662,0.913187,0.813847
ABCG2,0,0.0490513,0,0.0243621,0.24846,0.198889
ABCG4,0.372964,0.302594,0.474024,0.262098,0.296941,0.369755
ABCG5,0,0.0393783,0,0,0,0
ABCG8,0,0,0,0,0,0
ABHD1,0.146068,0,0.144392,0.479041,0,0.0724057
ABHD10,11.1752,11.1613,10.484,10.8394,10.5304,10.5497
ABHD11,5.5913,5.6925,7.53779,5.61708,5.98776,5.37739
ABHD12,20.2461,21.5612,20.0132,17.6941,18.111,18.4929
ABHD12B,0.142511,0.0784062,0.211316,0.23369,0.144407,0
ABHD13,3.98855,4.56527,3.27392,3.71789,3.98749,3.4423
ABHD14A,14.4439,13.4903,13.8807,13.3748,14.6265,17.565
ABHD14A-ACY1,4.40E-09,0.296455,0.00301695,0.00845303,1.16079,0.123267
ABHD14B,15.8279,15.6963,15.4574,16.3079,17.7641,17.0414
ABHD15,4.72388,5.32486,5.40999,4.43986,4.29054,4.19777
ABHD16A,16.7042,16.3747,17.2698,17.8163,16.6746,17.2563
ABHD16B,2.07772,2.60382,1.88272,1.95588,2.16384,1.65931
ABHD2,10.8332,10.9839,10.2776,8.79496,9.37062,8.51389
ABHD3,3.36608,3.32821,3.37568,3.78642,4.64668,3.33711
ABHD4,20.394,21.4447,20.0432,24.4464,22.9792,25.9171
ABHD5,1.99216,1.97874,1.98672,2.19708,2.14371,2.23718
ABHD6,2.23861,1.96154,2.82762,1.58616,1.89033,1.93165
ABHD8,11.0657,11.2235,10.796,7.46851,6.14272,7.63162
ABI1,11.4744,10.7456,10.7312,12.7394,13.2127,12.5278
ABI2,18.8617,19.4022,18.5309,15.8124,16.6796,16.1182
ABI3,0.0480282,0.0528494,0.0950156,0.683319,0.243577,0.330555
ABI3BP,5.65591,5.66213,5.75916,1.37141,1.96066,1.41235
ABL1,42.4004,42.5943,45.0367,48.8079,48.6625,53.1813
ABL2,3.84092,4.16681,3.7512,4.07522,3.52914,3.51508
ABLIM1,2.96373,3.25114,3.11096,2.44107,2.76707,2.16276
ABLIM2,0.194675,0.210408,0.112648,0.0622699,0.155007,0.141227
ABLIM3,0.285648,0.314322,0.304091,1.17701,0.89061,1.11097
ABO,1.97928,1.88757,2.02179,2.3801,2.00561,2.15847
ABP1,0,0.08946,0,0,0,0
ABR,24.5769,22.8381,24.9914,20.9301,20.5314,21.8727
ABRA,0.0711794,0.0391622,0.0351813,0,0.0360632,0
ABRACL,18.5211,19.6024,18.4483,19.1651,17.6214,12.8952
ABT1,15.2047,16.634,15.4659,12.9601,11.7897,14.6369
ABTB1,5.32703,5.23061,3.99879,4.41205,3.22875,4.96316
ABTB2,1.17837,1.36043,1.05028,1.85836,1.52682,1.83853
ACAA1,17.839,15.7336,18.4627,20.583,17.6805,21.4905
ACAA2,38.7584,33.7614,38.521,43.5742,42.3033,42.3765
ACACA,16.5882,16.0816,17.9317,16.2421,14.4782,15.2573
ACACB,1.14422,1.27012,1.38905,1.25085,1.44421,1.20402
ACAD10,8.77506,9.25988,9.82099,7.00152,5.91519,7.36946
ACAD11,6.69535,6.80424,5.74063,4.94664,5.60116,4.21359
ACAD8,9.58764,9.85006,9.56746,7.84841,8.19576,7.65816
ACAD9,16.9129,17.2661,16.5886,15.5846,13.8105,15.6075
ACADL,0.0396976,0.131048,0,0,0,0.039356
ACADM,11.5377,11.6136,10.807,11.3722,11.3462,10.1258
ACADS,4.87298,6.41125,5.55009,4.16903,5.20617,4.83104
ACADSB,4.66784,4.85782,4.8489,4.39362,4.85821,3.81194
ACADVL,88.3432,91.4951,92.3683,81.7013,81.2464,84.6667
ACAN,0.0217703,0.0239556,0.0322821,0.241331,0.397491,0.187593
ACAP1,1.22102,1.30024,1.44062,1.24869,0.878057,0.937168
ACAP2,7.8583,6.85461,6.58294,9.35992,10.2474,8.66922
ACAP3,16.417,17.8402,17.9196,15.2953,15.8593,14.8076
ACAT1,15.3741,12.8303,12.4556,17.7833,19.247,16.2672
ACAT2,16.5672,17.2668,16.1773,13.252,12.2154,12.2183
ACBD3,20.2538,19.2262,18.0726,22.525,22.9587,20.8291
ACBD4,4.4173,4.12709,5.42242,4.50745,3.45939,4.33436
ACBD5,7.34553,7.29936,7.06825,7.35262,7.39254,6.69513
ACBD6,23.515,24.6736,24.5154,26.1278,21.8097,25.6694
ACBD7,2.03541,1.86118,2.57883,0.971517,1.62675,1.27895
ACCS,0.600655,1.37256,0.949661,0.906833,0.840767,1.18391
ACCSL,0,0,0,0,0,0
ACD,8.47938,7.72276,9.29725,7.24509,7.11071,6.73312
ACE,0.494226,0.461174,0.791309,0.416508,0.601776,0.736573
ACE2,0,0,0,0.0901196,0,0.0544852
ACER1,0.102571,0.112867,0.101394,0.224259,0,0.203377
ACER2,0.719736,0.716557,0.474318,0.936676,1.25025,1.01935
ACER3,4.51357,4.89502,4.01131,4.67324,5.01339,4.17354
ACHE,3.23576,4.75093,3.85569,4.13446,4.12487,5.3601
ACIN1,64.012,63.4688,66.3242,66.0102,60.2807,61.6989
ACLY,57.5607,56.7283,59.1479,58.5578,55.6492,58.9157
ACMSD,0,0,0.0857087,0.0947835,0,0
ACN9,2.49736,3.50242,2.46871,2.51597,2.48097,2.03895
ACO1,23.0438,24.1623,23.6112,27.5353,28.6036,28.308
ACO2,34.5915,33.301,35.3261,30.5805,28.3096,30.3927
ACOT1,0.389071,0.428127,0.320505,0.425328,0.328539,0.385723
ACOT11,3.75546,3.86826,3.15291,2.29947,1.67579,1.63948
ACOT12,0,0,0,0,0,0
ACOT13,5.17801,5.78792,5.96427,5.32631,5.3299,5.98403
ACOT2,1.46226,1.83822,1.93608,1.71688,1.31289,3.31753
ACOT4,0.127059,0.139813,0.125601,0.347248,0.321873,0.314913
ACOT6,0,0,0,0.123886,0,0
ACOT7,30.2156,26.8865,30.5326,24.0718,20.5947,25.55
ACOT8,17.1614,17.5426,17.2426,13.7373,14.1588,16.5489
ACOT9,24.0265,21.0478,22.1254,42.075,38.84,39.2585
ACOX1,5.56008,5.30845,5.2774,5.59411,5.9706,5.50003
ACOX2,5.6904,5.26545,5.28419,4.38276,4.89245,5.17131
ACOX3,8.42014,8.86801,7.96515,7.85621,7.30208,8.07814
ACOXL,0.125513,0.0460375,0.0413577,0.13721,0.0423944,0.0829555
ACP1,55.1032,55.7963,54.2949,59.3372,59.7991,59.8557
ACP2,21.0173,21.8158,20.0684,17.7653,16.7431,20.5959
ACP5,0.142841,0.0785841,0.141202,0.54656,0.392854,0.212423
ACP6,7.52299,8.46489,7.49258,4.08111,4.87189,4.37401
ACPL2,9.22517,9.51293,8.99401,6.65446,7.08685,6.32371
ACPP,2.77552,3.69025,3.55143,5.31044,5.7294,5.49861
ACPT,0.0793534,0,0.0784428,0,0.160818,0.157341
ACR,0.0777897,0.171197,0.153794,0,0.157649,0.0771202
ACRBP,0.0539427,0.0593575,0.319942,0.176909,0.0546603,0.0534784
ACRC,0.579838,0.436556,0.271508,0.533787,0.494781,0.574847
ACRV1,0.373569,0,0.588769,0.130224,0.241413,0.118087
ACSBG1,0.0327649,0.108286,0.227128,0.107578,0.166272,0.0324829
ACSBG2,0.108556,0.0796355,0.178851,0.15823,0,0.17937
ACSF2,13.6003,14.4748,15.4719,14.3315,13.1938,14.5
ACSF3,5.29503,5.65366,5.88013,4.74245,4.94634,5.0855
ACSL1,8.97328,10.2069,9.46831,9.01041,10.3442,8.47124
ACSL3,20.8902,20.7385,19.5199,17.5743,21.1151,19.472
ACSL4,18.5549,18.9873,17.7272,19.0888,20.9017,18.0966
ACSL5,0.331566,0.190234,0.23837,0.131787,0.244345,0.239062
ACSL6,0.0582853,0.0819249,0.0588764,0.0976685,0.1358,0.044284
ACSM1,0.343888,0.162175,0.291379,0.161115,0.099561,0
ACSM2A,0,0,0.0325056,0,0,0
ACSM2B,0,0,0,0,0,0
ACSM3,0.846718,0.835149,0.465236,0.363066,0.837451,0.606255
ACSM4,0,0.0648686,0,0,0,0.0584436
ACSM5,0.0409694,0,0,0,0.0415145,0
ACSS1,1.21813,1.07225,1.11104,1.93997,1.72168,2.38057
ACSS2,17.733,17.1022,18.6125,15.8979,14.1879,15.9512
ACSS3,4.1064,3.14185,3.6153,5.36585,4.77869,4.67536
ACTA1,0.140857,0.154996,0.417721,0.153983,0.142731,0.418933
ACTA2,151.112,148.322,156.734,190.582,183.56,204.573
ACTB,2462.59,2302.81,2528.48,2235.21,2245.91,2439.89
ACTBL2,0.140161,0.0771154,0.277106,0.114917,0.284052,0.173694
ACTC1,0.104059,0.200383,0.231446,0.369707,0.31633,0.232117
ACTG1,1960.69,1885.4,2038.69,2122.45,2063.7,2345.91
ACTG1P4,0.204014,0.112246,0.252091,0.223026,0.25841,0.353951
ACTG2,20.0822,18.6924,17.7994,46.191,45.3169,52.8822
ACTL10,0.298476,0.492656,0.1967,0.489436,0.756117,0.345225
ACTL6A,27.8534,26.8759,26.2601,25.0941,25.587,24.8348
ACTL6B,0,0,0,0,0,0
ACTL7A,0,0.0812148,0,0,0,0
ACTL7B,0.0753996,0,0,0,0.0764027,0
ACTL8,0,0,0,0,0,0
ACTL9,0,0,0,0,0,0
ACTN1,70.9557,74.9677,75.2427,78.9589,77.2501,86.1424
ACTN1-AS1,0,0.252169,0,0,0,0.454385
ACTN2,0.104962,0.207897,0.145261,0.160641,0.276533,0.187306
ACTN3,0.431536,0.438327,0.39377,0.435462,0.336366,0.526552
ACTN4,79.2218,82.5665,87.1896,76.9465,75.2969,83.1233
ACTR10,27.991,27.6761,28.2312,31.4864,28.8978,27.9914
ACTR1A,54.1678,53.1695,55.5966,51.5953,49.6511,53.6004
ACTR1B,31.4995,30.0432,34.8938,26.1763,23.3234,27.8559
ACTR2,76.803,79.6772,71.2158,72.2709,76.2911,68.6634
ACTR3,57.6072,60.6026,55.3365,59.6527,59.4003,54.098
ACTR3B,2.8284,2.19392,3.53025,2.31617,2.32656,1.97796
ACTR3BP2,0,0,0,0,0,0
ACTR3BP5,0,0,0,0,0,0
ACTR3C,0.168422,0.0983175,0.176647,0.19535,0.543224,0.265739
ACTR5,4.42773,3.68707,2.95738,3.44493,3.96118,3.51961
ACTR6,7.10993,8.45522,5.89597,6.27786,8.10752,6.10172
ACTR8,8.95983,9.39253,8.90942,9.91071,10.7981,9.1718
ACTRT1,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0
ACTRT3,0.806989,0.554997,1.09688,0.882191,1.12437,1.65009
ACVR1,13.0333,12.2392,12.5127,15.6279,16.3528,14.8492
ACVR1B,8.27947,9.21732,7.82427,10.1991,9.20366,10.0383
ACVR1C,0.0110661,0.012177,0.0209672,0,0.0224304,0.0219454
ACVR2A,5.31322,5.50964,5.43029,11.6758,12.2826,10.0172
ACVR2B,3.63343,3.70299,3.80065,3.41221,3.18757,2.90912
ACVR2B-AS1,0.35311,0.60442,0.581764,0.514688,0.795129,0.505658
ACVRL1,0.447278,0.331059,0.309488,2.69001,2.08475,3.03732
ACY1,10.7339,12.847,12.5156,13.6625,10.2916,14.6607
ACY3,0,0,0,0,0,0
ACYP1,8.31127,8.65121,10.5785,5.89349,4.09711,7.12626
ACYP2,3.7416,3.43099,2.99415,3.21378,4.24273,4.76922
ADA,26.8454,24.8047,24.6466,17.6232,14.2588,18.217
ADAD1,0,0,0,0,0,0
ADAD2,0,0,0,0,0,0
ADAL,3.03414,4.00849,3.18614,3.37601,3.70822,3.535
ADAM10,34.5467,37.0755,34.2225,48.4802,48.4455,43.9416
ADAM11,0.821649,0.618614,0.790846,1.63097,1.40224,1.2433
ADAM12,12.5931,13.7108,12.8832,63.2668,66.3371,62.0964
ADAM15,17.626,16.8088,17.972,18.4473,17.9817,19.0975
ADAM17,14.0658,13.599,15.0296,12.6509,14.2255,12.9775
ADAM18,0,0,0.0408681,0.0451952,0,0.0409867
ADAM19,23.3275,23.3457,21.7017,20.4422,19.388,21.6787
ADAM1A,2.34118,2.61408,1.93994,2.18298,2.23278,2.1845
ADAM2,0,0,0,0,0,0
ADAM20,0,0,0,0,0.0710678,0
ADAM20P1,0.0961419,0,0.0316796,0.105101,0.0649474,0
ADAM21,0.0737822,0.121783,0,0.040329,0.0373819,0
ADAM21P1,0.0491801,0,0,0,0,0
ADAM22,0.988366,0.777008,0.566975,1.11996,0.823284,0.350014
ADAM23,2.4874,2.21073,2.77409,18.0583,16.5125,15.6496
ADAM28,0,0,0,0,0.0304933,0.029834
ADAM29,0,0,0,0,0,0
ADAM30,0,0,0,0.0355864,0,0
ADAM32,0.143882,0.0791623,0.14223,0.196612,0.32804,0.0356608
ADAM33,23.2181,25.3531,25.0086,27.8959,29.1312,28.3384
ADAM3A,0,0.0862276,0,0.0428288,0,0
ADAM5,0,0,0,0,0,0
ADAM6,0,0,0,0,0,0
ADAM7,0,0,0,0,0,0
ADAM8,1.15504,1.24336,1.04109,0.577793,0.87975,0.615171
ADAM9,54.2653,56.5833,49.1494,70.7892,72.4424,63.2269
ADAMDEC1,0.134426,0,0,0,0,0.22212
ADAMTS1,43.1713,43.1924,41.8285,78.7243,73.4679,75.6231
ADAMTS10,11.4109,13.1755,12.4146,11.1703,10.582,12.9415
ADAMTS12,11.0075,11.6498,11.599,26.6988,24.0701,24.8947
ADAMTS13,2.81692,3.01616,2.50415,2.87246,3.83477,3.14272
ADAMTS14,0.2513,0.197465,0.195131,0.412195,0.454879,0.676534
ADAMTS15,19.4427,17.8712,18.3012,33.9855,32.5106,36.6593
ADAMTS16,2.09331,1.65429,1.52375,0.520088,0.771332,0.584857
ADAMTS17,0.19261,0.0978208,0.131816,0.275347,0.210186,0.190953
ADAMTS18,0.254412,0.192466,0.267211,0.0695302,0.112786,0.0472918
ADAMTS19,0.148658,0.122685,0.165321,0.385964,0.33893,0.331602
ADAMTS2,11.0262,13.2711,11.98,20.9221,21.8768,27.5471
ADAMTS20,0.344785,0.25293,0.146069,0.269225,0.232914,0.113939
ADAMTS3,3.10239,2.91596,2.87511,2.38465,2.29225,2.65919
ADAMTS4,1.25337,1.33079,1.45635,0.697103,0.93582,1.30798
ADAMTS5,1.90035,2.14392,1.75521,4.83688,5.37817,4.21521
ADAMTS6,11.8874,11.2847,10.379,5.81622,5.44329,4.30634
ADAMTS7,12.4504,13.6435,13.6825,11.8647,10.5104,10.879
ADAMTS8,0.393604,0.40424,0.570661,0.200799,0.0797681,0.0780432
ADAMTS9,28.1361,29.4848,28.8358,18.0946,18.3642,18.2203
ADAMTS9-AS2,0.179333,0.0986674,0.35455,0.686158,0.726876,0.400027
ADAMTSL1,6.10991,5.29522,4.86708,7.38947,8.26721,7.43347
ADAMTSL2,0.798686,0.465279,0.766301,1.82328,1.87691,2.11927
ADAMTSL3,0.0381916,0.154093,0.151013,0.111335,0.0773993,0.0378629
ADAMTSL4,6.77513,6.8106,7.62794,11.2365,11.901,12.1135
ADAMTSL5,4.34449,4.63003,4.32845,5.64687,6.41279,6.07064
ADAP1,2.57068,3.34733,3.17647,2.29503,2.73512,2.59103
ADAP2,0.142638,0.313913,0.317253,0.389827,0.289072,0.282821
ADAR,62.9969,62.6772,65.1563,61.2386,57.449,57.0458
ADARB1,10.5992,10.6596,11.6001,12.4861,11.7462,13.0434
ADARB2,0.0331246,0.109349,0.0654889,0.0844933,0.0559421,0.0547325
ADARB2-AS1,0,0,0,0,0,0
ADAT1,4.238,4.7232,4.86074,4.43201,4.67978,4.55165
ADAT2,1.18557,0.924764,0.904934,1.03356,0.851584,0.75878
ADAT3,2.04151,1.82523,3.27939,1.67382,2.00403,2.34018
ADC,3.99115,4.54323,3.53721,3.25977,3.48642,3.86584
ADCK1,4.29338,3.98602,4.0653,4.5683,3.42752,4.38564
ADCK2,10.545,11.2337,11.5868,8.35873,7.49249,9.4963
ADCK3,3.6703,4.4426,4.7826,4.77832,6.2887,7.1451
ADCK4,16.884,18.1046,18.6993,13.0147,12.2211,14.1558
ADCK5,6.04207,6.70541,6.43218,5.08087,4.60492,4.71014
ADCY1,0.398775,0.422553,0.437999,0.508593,0.366666,0.571051
ADCY10,0.0381223,0,0.0376848,0.0833517,0.0386295,0.0188961
ADCY10P1,1.53654,1.47745,1.34906,1.49973,1.7161,1.20581
ADCY2,0.15728,0.283203,0.240281,0.156307,0.304257,0.212628
ADCY3,13.2302,11.8181,12.3078,14.0607,13.8011,14.6619
ADCY4,0.282494,0.155413,0.307179,0.592877,0.372711,1.00647
ADCY5,1.88187,1.64524,1.62307,0.740845,1.03705,1.13464
ADCY6,14.4633,16.2326,14.772,15.2197,15.4502,15.4897
ADCY7,4.61999,4.39357,3.88647,3.62902,3.61185,3.57925
ADCY8,0,0.02563,0.0460493,0.0254625,0.0236018,0.0692744
ADCY9,5.382,5.49734,6.0479,9.70918,8.96299,9.46307
ADCYAP1,0.12169,0.167386,0.0902174,0,0.0616481,0.0301514
ADCYAP1R1,0.0583273,0.208627,0.057658,0.143485,0.177338,0.0578253
ADD1,78.0035,74.7141,81.0539,81.1387,80.1535,81.2377
ADD2,0.381957,0.503065,0.526723,0.362694,0.179683,0.402625
ADD3,40.2734,42.2198,39.8812,55.5258,57.5812,47.112
ADGB,0,0.0196435,0,0,0,0
ADH1A,0,0,0,0,0.0709252,0
ADH1B,0,0,0,0.200181,0.259774,0.18154
ADH1C,0,0,0,0,0,0
ADH4,0.0511183,0.281248,0.30319,0.167646,0.207194,0.152035
ADH5,62.9942,57.2802,57.5632,67.3188,66.6223,67.0999
ADH6,0.227521,0.50072,0.44982,0.165815,0.691644,0.300751
ADH7,0,0,0,0,0,0
ADHFE1,2.36085,2.42072,2.43984,2.34624,3.20781,2.34054
ADI1,29.1519,28.4839,31.3153,34.631,33.9114,33.7892
ADIG,0,0,0,0,0,0
ADIPOQ,0.166003,0.270872,0.348727,0.136099,0.252326,0.185148
ADIPOQ-AS1,0.308336,0.246754,0.24938,0.306427,0.340841,0.222314
ADIPOR1,40.6045,43.1231,44.4723,43.3038,42.8651,44.7424
ADIPOR2,31.3017,30.301,28.6045,18.7846,19.3439,18.2557
ADIRF,0.875615,1.27761,0.523221,0.634632,1.17651,1.08538
ADK,6.54693,7.56563,5.66408,7.89596,6.4065,6.612
ADM,16.5389,17.1568,17.3574,31.6999,28.7928,33.9487
ADM2,2.97316,3.93782,3.53449,7.47138,8.27354,9.71801
ADM5,0.570687,0.732636,0.517127,0.311935,0.57828,0.282888
ADNP,32.3983,36.3429,32.669,32.0742,30.8138,29.8435
ADNP2,6.93558,7.41979,6.80405,7.94568,7.36505,6.91062
ADO,8.19984,8.56897,8.2332,7.52636,9.01441,8.81949
ADORA1,0.851547,0.898057,1.15701,1.82145,1.61651,2.28387
ADORA2A,0.422631,1.35289,0.683641,1.09204,1.12903,0.914167
ADORA2A-AS1,0.503982,0.467723,0.710751,0.442162,0.782758,0.719154
ADORA2B,3.40041,3.62296,4.26843,13.6891,11.759,14.8223
ADORA3,0.378237,0,0.0934738,0.206742,0.191634,0
ADPGK,23.2706,24.4833,23.8464,26.5568,26.0075,28.6128
ADPGK-AS1,0.323349,0.711615,0.9234,0.746239,0.473274,0.92608
ADPRH,0.140283,0.21611,0.388284,0.337382,0.0568596,0.22252
ADPRHL1,0.761532,0.581126,0.814565,0.985375,1.08928,0.744466
ADPRHL2,13.4834,14.5012,14.957,13.6727,13.4773,15.4843
ADPRM,3.65891,4.40603,4.70882,6.26396,3.70759,5.0647
ADRA1A,0.648175,0.570592,0.598021,0.33067,0.749363,0.299879
ADRA1B,0.841035,1.12029,1.05017,1.01619,1.1662,1.79925
ADRA1D,0.405473,0.324491,0.291505,0.201481,0.298813,0.475071
ADRA2A,0.568993,0.408333,0.342369,0.486796,0.601631,0.809356
ADRA2B,0.0889232,0.163082,0.0586018,0.0972098,0.120142,0.117544
ADRA2C,0.827678,0.853839,0.869317,0.678607,1.10078,1.64111
ADRB1,0.0341443,0,0.101257,0.0373261,0.0691971,0.0338504
ADRB2,0,0.108646,0.244004,0.161903,0,0.0489424
ADRB3,3.3075,2.82164,2.27766,6.21579,5.34734,6.4107
ADRBK1,22.8028,24.1978,24.258,19.2317,19.9269,22.5788
ADRBK2,2.2155,2.57334,2.29147,2.4556,2.08908,2.56251
ADRM1,49.9339,50.3632,55.9201,45.8881,43.8544,56.98
ADSL,42.8356,34.1864,39.5729,46.8737,40.5909,44.6532
ADSS,16.3695,13.6742,12.9802,16.1248,17.4435,14.9025
ADSSL1,8.71578,6.11487,6.64975,6.45857,7.05354,6.78504
ADTRP,0.0566885,0.0623789,0,0.0619712,0.172362,0.281069
AEBP1,102.732,100.163,112.592,91.3954,86.2349,96.6255
AEBP2,4.52849,5.12602,5.22917,5.61258,6.03553,4.92216
AEN,8.53983,9.08841,8.87317,13.3561,11.3695,13.4102
AES,141.287,140.687,151.162,126.065,128.054,149.068
AFAP1,15.4282,15.874,16.455,17.7614,16.7905,17.9779
AFAP1-AS1,0.123979,0.0909494,0.136173,0.195769,0.0697935,0.0546275
AFAP1L1,0.407659,0.489221,0.537294,0.818571,0.986781,1.27979
AFAP1L2,13.3432,14.0156,13.2228,41.5689,39.8764,42.7272
AFF1,4.59364,5.90583,5.29996,4.54535,4.58718,4.38579
AFF2,0.4328,0.580333,0.554767,0.35454,0.328838,0.281507
AFF3,5.04599,5.81776,5.23061,4.29133,4.38099,3.98247
AFF4,16.8576,20.4356,16.9417,19.233,21.9974,18.7476
AFG3L1P,2.75724,2.79171,3.72671,2.8509,3.55441,3.78259
AFG3L2,26.5183,23.2977,25.169,24.1029,24.79,24.4935
AFM,0,0,0,0,0.0512787,0
AFMID,13.4363,12.3507,14.0095,14.5288,13.6638,15.4322
AFP,0,0.0546198,0,0,0,0
AFTPH,4.41785,4.24567,3.58851,3.95917,4.46088,3.87167
AGA,4.35052,3.53137,3.26089,6.0625,6.68524,6.06672
AGAP1,5.49831,5.46725,6.03638,5.0064,5.13155,5.32939
AGAP11,0.137634,0.2369,0.12966,0.168108,0.249318,0.132405
AGAP2,0.195651,0.230494,0.173623,0.149188,0.114289,0.143764
AGAP3,22.5928,21.3941,23.7206,24.7688,21.8435,24.5362
AGAP4,0.0814975,0,0.161125,0.0445461,0.0412909,0.121194
