"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type"
"REACTOME_2_LTR_CIRCLE_FORMATION",0.930622009569378,1,0.0572461135202884,-0.323961654532159,-0.555255095630665,4,"XRCC5, BANF1","Pericyte_1"
"REACTOME_ABACAVIR_METABOLISM",0.235177865612648,0.991818627553256,0.124434168630393,-0.887923322683706,-1.18326724666458,1,"GUK1","Pericyte_1"
"REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT",0.342105263157895,0.991818627553256,0.111918316325105,-0.675397699384817,-1.1576000088721,4,"SLC22A3, ABCB1","Pericyte_1"
"REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM",0.259351620947631,0.991818627553256,0.134273452883202,-0.705560745185032,-1.25732164587183,5,"SLC22A3, GUK1, ABCB1","Pericyte_1"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.699619771863118,0.991818627553256,0.096240602328129,-0.310764383124543,-0.842626372557371,55,"SEM1, ABCC9, ABCA5, PSMD1, UBC, VCP, DERL2, ABCB7, PSMB7","Pericyte_1"
"REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",0.7,0.991818627553256,0.0521630305460055,0.483397879732409,0.825963190411898,7,"ABCA10, ABCA9, ABCA3","Pericyte_1"
"REACTOME_ABC_TRANSPORTER_DISORDERS",0.973793103448276,1,0.0294936424723046,0.260800489141376,0.606466541554149,42,"ABCA1, UBA52, ABCA3, OS9, PSMB9, PSMD4, PSME1, PSMD2, PSMB6","Pericyte_1"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",0.722560975609756,0.991818627553256,0.0481183992657975,0.41827378379783,0.781539337648867,11,"ANAPC5, CDC16, ANAPC4, FZR1, ANAPC7","Pericyte_1"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.396551724137931,0.991818627553256,0.0785029047348687,0.618916310141724,1.11377499736423,9,"CCND3, CDK6","Pericyte_1"
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",0.979750778816199,1,0.035090109926935,0.238966671113444,0.46534412122726,15,"POLR2J, GTF2F2","Pericyte_1"
"REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS",0.276679841897233,0.991818627553256,0.11331290842208,-0.859808306709265,-1.14580052325264,1,"KCNMA1","Pericyte_1"
"REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",0.396774193548387,0.991818627553256,0.0799858801499946,0.652019242992119,1.11407996752042,7,"PPFIA1, PPFIA2, SNAP25","Pericyte_1"
"REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION",0.653225806451613,0.991818627553256,0.0553642837725362,0.510484117172273,0.872244392771471,7,"GNAQ, PLCB1","Pericyte_1"
"REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING",0.276785714285714,0.991818627553256,0.106729884364606,0.824356671506939,1.16631427255849,2,"CD9, IZUMO4","Pericyte_1"
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.795981452859351,1,0.0443293451680314,0.37027158654426,0.733391013833528,16,"CNTN1, ITCH, ARRB1, APH1B, UBA52","Pericyte_1"
"REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5",0.72,0.991818627553256,0.0543434390269162,0.57447639996131,0.854472264761743,3,"NTRK2, TIAM1","Pericyte_1"
"REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3",0.722955145118733,0.991818627553256,0.0743625384422526,-0.409286490870075,-0.758810973666532,6,"SOS1, PTPN11","Pericyte_1"
"REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN",0.227953410981697,0.991818627553256,0.114750719227023,0.774395252415964,1.25742373404383,5,"FYN, NTRK2","Pericyte_1"
"REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K",0.676369863013699,0.991818627553256,0.0565299525056311,0.565521321736307,0.877111748596311,4,"GAB1, PIK3R1, NTRK2","Pericyte_1"
"REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS",0.698254364089776,0.991818627553256,0.0732558655828455,-0.434405477646911,-0.774118194440531,5,"SOS1","Pericyte_1"
"REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K",0.501170960187354,0.991818627553256,0.0875697115548511,-0.618060810494805,-1.00367028649076,3,"PIK3CA","Pericyte_1"
"REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS",0.564593301435407,0.991818627553256,0.0822054920415869,-0.541720233873472,-0.928483096861766,4,"SOS1","Pericyte_1"
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",0.255980861244019,0.991818627553256,0.132147260608774,-0.727163454312444,-1.24632408717156,4,"KDM4C","Pericyte_1"
"REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.659883720930233,0.991818627553256,0.0843144320642653,-0.388238420131297,-0.829536803086669,13,"MAP2K6, UBC, MAPKAPK2, MAPK14, TRAF6","Pericyte_1"
"REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS",0.349529780564263,0.991818627553256,0.0852884689790502,0.630965862404546,1.13545884996248,9,"PRKAA2, PRKAG2, TUBB4A","Pericyte_1"
"REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS",0.636363636363636,0.991818627553256,0.0886261133285098,-0.363909500303056,-0.868343808188679,25,"YY1, PIAS2, PKNOX1, RXRA, SUZ12, PCGF2, RBBP7","Pericyte_1"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",0.986089644513138,1,0.0344174840212229,0.237230726835518,0.469879109250984,16,"ORC4, RPA3, RFC2, MCM6, RAD17, CDC7","Pericyte_1"
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.133228840125392,0.991818627553256,0.150169802128406,0.753137980905442,1.35531450529358,9,"AKT3, BCL2, YWHAQ","Pericyte_1"
"REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",0.204018547140649,0.991818627553256,0.117249716749792,0.638334815844574,1.26433956795529,16,"AKT3, BCL2, YWHAQ, TP63","Pericyte_1"
"REACTOME_ACTIVATION_OF_C3_AND_C5",0.916071428571429,1,0.0445070537769277,0.459739263803681,0.650447171185725,2,"C5, C2","Pericyte_1"
"REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE",0.845257903494176,1,0.0449543067640062,0.413600291585349,0.671583175935477,5,"XIAP, APAF1","Pericyte_1"
"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",0.181169757489301,0.991818627553256,0.119887845115423,0.571078625439771,1.26173239995766,30,"CHD9, PPARA, TBL1XR1, FDFT1, TBL1X, ACACB, NFYC, ELOVL6, ACACA, MED1","Pericyte_1"
