"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","REACTOME_2_LTR_CIRCLE_FORMATION",0.193929173693086,0.566533818517877,0.126875729929857,0.659447913670712,1.26942619815013,7,"BANF1, XRCC4, PSIP1, HMGA1, XRCC5"
"2","REACTOME_ABACAVIR_ADME",0.0282887421615409,0.24896207347667,0.352487857583619,-0.742909535089155,-1.5700239168439,8,"ABCB1, ABCG2"
"3","REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT",0.000254851867572363,0.0158008157894865,0.49849310876659,-0.944517632519319,-1.78789954627628,5,"ABCB1, ABCG2"
"4","REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.190062111801242,0.565487662531556,0.107554375265169,0.365456345229539,1.16886919134617,96,"ABCA5, PSMD5, EIF2S3, ABCB7, ABCA7, PSMD8, PSMC2, RNF185, PSMB7, OS9, UBA52, EIF2S1, SEL1L, PSMB6, PSMD13, ABCA6, ABCF1, ABCA9, ABCB10, ERLIN2, ABCB8, UBB, PSME1, PSMA4"
"5","REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",0.225505443234837,0.607298028604561,0.11101149245045,0.520171201184627,1.20841131964741,16,"ABCA5, ABCA7, ABCA6, ABCA9"
"6","REACTOME_ABC_TRANSPORTER_DISORDERS",0.509090909090909,0.786806105905449,0.0568864160475701,0.318138803979058,0.978232286871464,72,"PSMD5, PSMD8, PSMC2, RNF185, PSMB7, OS9, UBA52, LMBRD1, SEL1L, PSMB6, PSMD13, ERLIN2, UBB, PSME1, PSMA4, PSMD12, PSMB1, PSMD14, RPS27A, PSMD6, PSMF1, ABCA1, PSMB4, PSMD11"
"7","REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",0.449925261584454,0.770286246657409,0.0696133438850965,0.416402056797926,1.00687034862313,19,"UBE2E1, ANAPC4, ANAPC1, CDC26, ANAPC7, ANAPC5, ANAPC16, ANAPC11"
"8","REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.524105754276827,0.794641879273789,0.0640703750499722,0.417644589470589,0.970231432183084,16,"CDKN1C, CDK6, CDK2, CDKN1B, TFDP2"
"9","REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",0.0857988165680473,0.418134132633945,0.184706471207739,0.543763984215466,1.36118387045405,23,"NELFCD, GTF2F1, NELFB, POLR2H, SUPT4H1, POLR2C, POLR2I, POLR2B, NELFA, CTDP1, POLR2G, NCBP1, POLR2D"
"10","REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS",0.312796208530806,0.677075084799849,0.117249716749792,-0.59162762740555,-1.15679366185354,6,"CHRNA5, CHRNB4, CHRNA4"
"11","REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS",0.0599250936329588,0.365291038691181,0.252961123069611,0.877587565252058,1.37024386741009,3,"KCNMB1, KCNMA1"
"12","REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",0.0756756756756757,0.396897199314118,0.271288554688953,-0.588562795555921,-1.48892563227412,14,"SNAP25, PPFIA3, TSPOAP1, STX1A"
"13","REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION",0.0310396827141785,0.260313474356589,0.352487857583619,-0.691681917742987,-1.56555958873934,10,"PLCB1, GNA15, GNA14, PLCB2"
"14","REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING",0.425093632958801,0.75063618642566,0.0843144320642653,0.681076894393257,1.06341688821562,3,"IZUMO4, CD9"
"15","REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.542483660130719,0.794727117288547,0.102449405629826,-0.319701246190511,-0.943177141908179,29,"DLL4, ARRB2, APH1A, JAG2, DLL1, MIB1, NEURL1B"
"16","REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5",0.26303317535545,0.626894417058351,0.129442887745046,-0.623571689304769,-1.21925303093494,6,"TIAM1, BDNF"
"17","REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3",0.767100977198697,0.881745062956708,0.0484087618816951,0.371131979672011,0.773821305589715,10,"GRB2, FRS3"
"18","REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN",0.0166525577373787,0.205027235688577,0.352487857583619,-0.796393153188835,-1.6155908849849,7,"FYN, DOCK3, GRIN2B, BDNF"
"19","REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K",0.424137931034483,0.75063618642566,0.0799858801499946,0.579394439096705,1.06954500095326,6,"GRB2, PIK3R1, NTRK2"
"20","REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS",0.530456852791878,0.794721014520245,0.0888945288620449,-0.442738516018074,-0.935659089330352,8,"KRAS, SOS1, BDNF, HRAS"
"21","REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K",0.0431034482758621,0.313086134756889,0.287857117255149,0.796968763612872,1.47118076998971,6,"NTF3, NTRK3, PIK3R1"
"22","REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS",0.427631578947368,0.75063618642566,0.0770736734944102,0.537090796874698,1.07452897052109,8,"GRB2, NTF3, NTRK3"
"23","REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",0.221052631578947,0.603006189213086,0.120433371642259,0.692502240765351,1.23064386353602,5,"KDM1A, NCOA2"
"24","REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",0.360778443113772,0.71808578337788,0.0810802057550866,0.439903725818303,1.08874984676079,22,"IKBKG, MAP3K7, UBA52, MAP2K6, UBB, TAB3, IRAK2, RPS27A"
"25","REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS",0.889561270801815,0.93535939800845,0.0382416816260774,0.288889359499273,0.70992869349882,21,"PRKAA1, PRKAB1, TUBB4A, TUBA4A, PRKAG2, TUBB4B, TUBA1C"
"26","REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS",0.0665760869565217,0.37936750092772,0.20207170902116,0.478070410748562,1.37555360353791,49,"SUZ12, CREBBP, PBX1, RBBP7, EP300, POLR2H, RARB, ZNF335, CTCF, POLR2C, NCOR1, YY1, POLR2I, ASH2L, CNOT6, MEIS1, PKNOX1, POLR2B, RARA, RBBP4"
"27","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",0.417021276595745,0.748654535853374,0.0707899094502623,0.384511155977358,1.03286518584436,33,"ORC2, RAD9A, CHEK1, RFC2, CDK2, MCM5, RAD1, RPA2, RPA1"
"28","REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.166666666666667,0.542182315049776,0.134273452883202,0.574814921063822,1.27795580011452,13,"PPP3CC, BAD, AKT3, YWHAH, YWHAQ"
"29","REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",0.12372634643377,0.486451966061491,0.150169802128406,0.510470045315595,1.32195102482476,28,"TP63, BBC3, PPP3CC, BAD, TP53BP2, AKT3, YWHAH, TFDP2, YWHAQ, BCL2L11"
"30","REACTOME_ACTIVATION_OF_C3_AND_C5",0.24283305227656,0.615698357457939,0.11146266692298,0.643190259226704,1.23813048541246,7,"C3, C2, C5, CFB"
"31","REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE",0.789655172413793,0.888319835545553,0.0496901392724606,0.403461780863584,0.74477851646471,6,"APAF1, XIAP, CASP9"
"32","REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",0.132311977715877,0.500421771927589,0.141225119642531,0.464025174947711,1.29358813934661,41,"NFYB, SCD, CREBBP, SMARCD3, FDFT1, SREBF1, DHCR7, NCOA2, SQLE, CHD9, SP1, MTF1, NCOA1, LSS, ACACA, TGS1, TBL1XR1, PPARA, GPAM, SC5D, HMGCR, RXRA, CARM1"
"33","REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE",0.265940902021773,0.627273649333964,0.100633389423036,0.504869551233903,1.17286400951639,16,"IRF3, OPTN, UBA52, TANK, UBB, TICAM1, RPS27A, SARM1"
"34","REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING",0.496360989810771,0.786367558239862,0.0635007968065945,0.375518747202552,0.972471151364846,28,"GNG7, GNG12, GRIK1, GNB2, GRIK5, DLG3"
"35","REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",0.502673796791444,0.786806105905449,0.0949751525905595,-0.383221882108211,-0.98741079718093,15,"MMP16, SPOCK3, MMP2"
"36","REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7",0.670175438596491,0.837571365647755,0.0580983576873206,0.485188359635859,0.862226924760663,5,"NEK9, PLK1, NEK7, CCNB2"
"37","REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS",0.0405655027633592,0.306181359987789,0.321775918075361,-0.359741114824563,-1.29922129305867,84,"RASGRF2, GIT1, PRKAA2, GRIA4, KRAS, TUBB2B, GRIA2, CAMK2A, GRIN1, ADCY1, GRIA3, GRIN2B, TUBA1B, ERBB4, RASGRF1, KIF17, DLG4, APBA1, CAMK2D, GRIN2A, PRKAR1B"
"38","REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.826315789473684,0.8991253336152,0.0484087618816951,0.401178477942653,0.712933190681379,5,"TFDP2, PMAIP1, TFDP1, E2F1"
"39","REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION",0.531017369727047,0.794721014520245,0.0875697115548511,-0.419075842271932,-0.930154945424725,9,"PRKAA2, MAPK11, MAPK14, MAPK12"
"40","REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.240400667779633,0.615698357457939,0.11146266692298,0.602149740243015,1.21590569432329,9,"TP63, BBC3, TP53BP2, TFDP2"
"41","REACTOME_ACTIVATION_OF_RAC1",0.451923076923077,0.77116997057027,0.0728938564822936,0.461366986103177,1.02573296945861,13,"SLIT2, ROBO1, PAK2"
"42","REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS",0.466992665036675,0.774349651740974,0.0940503465727813,-0.500964333999736,-1.01627369405648,7,"GIT1"
"43","REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS",0.0648148148148148,0.373815676141257,0.271288554688953,-0.77413831905831,-1.46538455370882,5,"KRAS, RASGRP3, HRAS"
"44","REACTOME_ACTIVATION_OF_SMO",0.665738161559889,0.837479310484034,0.0815265143256594,-0.327794119338124,-0.852097377883993,16,"ARRB2, DHH, EFCAB7, SMO, GRK2"
"45","REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS",0.731958762886598,0.867867546410912,0.0725351864394589,-0.349978435231412,-0.792144598656575,10,"MAPK11, MAPK14, MAPK10, JUN"
"46","REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",2.11541835831147e-07,2.82489713079132e-05,0.690132458796796,0.679446828327086,2.03235413948468,59,"RPS13, EIF4A1, RPS27L, RPS24, FAU, EIF2S3, RPS15, RPS25, EIF3L, RPS11, RPS15A, RPS14, EIF2S1, RPS27, EIF3B, RPS16, EIF3J, EIF4A2, RPS9, RPS4X, EIF3I, RPSA, EIF3C, RPS28, EIF3K, EIF3F, RPS6, EIF4B, EIF4G1, PABPC1, RPS26, EIF4E, EIF3D, RPS12, RPS3A, RPS27A, RPS17, RPS23"
"47","REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE",0.917061611374408,0.954589194886129,0.0574877409561325,-0.300854049128578,-0.58825186832654,6,"GNB1, CNGA1, PDE6A, PDE6B"
